"Date","Price","Open","High","Low","Change %"
"Mar 25, 2019","109.97","109.86","110.25","109.72","-0.11%"
"Mar 24, 2019","110.10","109.93","110.14","109.75","0.16%"
"Mar 22, 2019","109.92","110.81","110.91","109.75","-0.80%"
"Mar 21, 2019","110.81","110.72","110.97","110.30","0.11%"
"Mar 20, 2019","110.69","111.41","111.69","110.53","-0.63%"
"Mar 19, 2019","111.39","111.44","111.48","111.16","-0.03%"
"Mar 18, 2019","111.42","111.45","111.62","111.28","-0.12%"
"Mar 17, 2019","111.56","111.50","111.57","111.44","0.08%"
"Mar 15, 2019","111.47","111.70","111.91","111.39","-0.22%"
"Mar 14, 2019","111.72","111.16","111.84","111.14","0.49%"
"Mar 13, 2019","111.17","111.36","111.47","111.00","-0.17%"
"Mar 12, 2019","111.36","111.20","111.47","111.11","0.14%"
"Mar 11, 2019","111.20","111.14","111.31","110.88","0.10%"
"Mar 10, 2019","111.08","111.17","111.18","110.96","-0.08%"
"Mar 08, 2019","111.17","111.58","111.66","110.78","-0.38%"
"Mar 07, 2019","111.59","111.77","111.86","111.48","-0.16%"
"Mar 06, 2019","111.77","111.89","111.94","111.61","-0.11%"
"Mar 05, 2019","111.89","111.72","112.12","111.70","0.13%"
"Mar 04, 2019","111.75","111.77","112.02","111.64","-0.17%"
"Mar 03, 2019","111.94","111.89","111.96","111.72","0.02%"
"Mar 01, 2019","111.92","111.39","112.08","111.33","0.48%"
"Feb 28, 2019","111.39","111.00","111.50","110.66","0.35%"
"Feb 27, 2019","111.00","110.58","111.08","110.36","0.38%"
"Feb 26, 2019","110.58","111.06","111.09","110.42","-0.43%"
"Feb 25, 2019","111.06","110.67","111.23","110.56","0.26%"
"Feb 24, 2019","110.78","110.68","110.79","110.63","0.08%"
"Feb 22, 2019","110.69","110.69","110.92","110.56","-0.01%"
"Feb 21, 2019","110.70","110.86","110.89","110.58","-0.14%"
"Feb 20, 2019","110.86","110.63","110.95","110.52","0.22%"
"Feb 19, 2019","110.62","110.61","110.83","110.45","0.00%"
"Feb 18, 2019","110.62","110.45","110.67","110.39","0.04%"
"Feb 17, 2019","110.57","110.50","110.57","110.39","0.07%"
"Feb 15, 2019","110.50","110.48","110.66","110.25","0.02%"
"Feb 14, 2019","110.48","111.01","111.13","110.45","-0.47%"
"Feb 13, 2019","111.00","110.50","111.06","110.42","0.47%"
"Feb 12, 2019","110.48","110.36","110.64","110.33","0.09%"
"Feb 11, 2019","110.38","109.83","110.47","109.69","0.51%"
"Feb 10, 2019","109.82","109.76","109.87","109.69","0.08%"
"Feb 08, 2019","109.73","109.81","109.91","109.64","-0.07%"
"Feb 07, 2019","109.81","109.97","110.09","109.61","-0.15%"
"Feb 06, 2019","109.97","109.97","110.06","109.55","0.00%"
"Feb 05, 2019","109.97","109.89","110.03","109.78","0.07%"
"Feb 04, 2019","109.89","109.50","110.16","109.43","0.41%"
"Feb 03, 2019","109.44","109.50","109.54","109.43","-0.05%"
"Feb 01, 2019","109.50","108.89","109.58","108.72","0.57%"
"Jan 31, 2019","108.88","109.04","109.08","108.49","-0.14%"
"Jan 30, 2019","109.03","109.39","109.75","108.81","-0.33%"
"Jan 29, 2019","109.39","109.36","109.55","109.14","0.03%"
"Jan 28, 2019","109.36","109.53","109.61","109.16","-0.05%"
"Jan 27, 2019","109.42","109.52","109.59","109.39","-0.12%"
"Jan 25, 2019","109.55","109.64","109.97","109.45","-0.08%"
"Jan 24, 2019","109.64","109.58","109.81","109.42","0.04%"
"Jan 23, 2019","109.60","109.37","110.00","109.32","0.20%"
"Jan 22, 2019","109.38","109.67","109.70","109.14","-0.26%"
"Jan 21, 2019","109.67","109.75","109.77","109.47","-0.00%"
"Jan 20, 2019","109.68","109.78","109.78","109.64","-0.10%"
"Jan 18, 2019","109.78","109.27","109.89","109.06","0.49%"
"Jan 17, 2019","109.24","109.09","109.40","108.68","0.14%"
